log_Valor,log_Area,log_Quartos,log_Vagas,log_Suites,log_Condominio,log_IPTU,Bairro
6.684611727667927,2.70805020110221,0.6931471805599453,0.0,0.0,5.968707559985366,3.044522437723423,Centro
6.684611727667927,3.871201010907891,0.6931471805599453,0.0,0.0,5.442417710521793,,Higienópolis
7.090076835776092,4.248495242049359,1.3862943611198906,0.6931471805599453,0.0,,,Vista Alegre
7.170119543449628,3.912023005428146,1.0986122886681098,0.0,0.0,5.71042701737487,2.8903717578961645,Cachambi
7.090076835776092,3.58351893845611,0.6931471805599453,0.0,0.0,,,Centro
7.313220387090301,4.248495242049359,1.0986122886681098,0.6931471805599453,0.0,6.466144724237619,4.31748811353631,Grajaú
7.313220387090301,4.499809670330265,1.3862943611198906,0.6931471805599453,0.6931471805599453,6.1224928095143865,2.70805020110221,Lins de Vasconcelos
7.600902459542082,3.6888794541139363,0.6931471805599453,0.0,0.6931471805599453,6.331501849893691,3.9318256327243257,Copacabana
9.472704636443673,5.493061443340548,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.601402334583733,6.6895992691789665,Copacabana
6.856461984594587,3.9889840465642745,1.3862943611198906,0.0,0.0,5.707110264748875,3.367295829986474,Freguesia (Jacarepaguá)
7.438383530044307,4.204692619390966,1.0986122886681098,0.6931471805599453,0.6931471805599453,6.380122536899765,4.997212273764115,Barra da Tijuca
7.549609165154532,4.700480365792417,1.0986122886681098,0.6931471805599453,0.0,6.55250788703459,4.9344739331306915,Tijuca
6.907755278982137,4.219507705176107,1.3862943611198906,0.6931471805599453,0.0,6.508769136971682,,Olaria
7.600902459542082,4.356708826689592,1.0986122886681098,0.6931471805599453,0.0,6.55250788703459,,Tijuca
8.85366542803745,4.8283137373023015,1.3862943611198906,0.6931471805599453,0.6931471805599453,7.650168700845001,6.139884552226255,Ipanema
6.620073206530356,3.871201010907891,0.6931471805599453,0.0,0.0,6.650279048587422,3.258096538021482,Tijuca
8.34283980427146,5.1647859739235145,1.3862943611198906,1.3862943611198906,0.6931471805599453,7.313886831633462,6.2166061010848646,Barra da Tijuca
